model,lambda_phys,latent_dim,lr,val_mse
hae,0.01,1,0.0001,0.00026043070950739394
hae,0.01,1,0.001,0.00026927343181644875
hae,0.01,2,0.0001,0.00022448805611929856
hae,0.01,2,0.001,0.00014438635116675869
hae,0.01,4,0.0001,0.00021073851651938943
hae,0.01,4,0.001,0.00021276079739133516
hae,0.1,1,0.0001,0.00026041543727236177
hae,0.1,1,0.001,0.0002686106054170523
hae,0.1,2,0.0001,0.00022465918300440535
hae,0.1,2,0.001,0.0002016359103436116
hae,0.1,4,0.0001,0.00021069245485705324
hae,0.1,4,0.001,0.00021508397185243666
hae,1.0,1,0.0001,0.0002603629618533887
hae,1.0,1,0.001,0.0002522654140193481
hae,1.0,2,0.0001,0.00022553048741732104
hae,1.0,2,0.001,0.000216667031054385
hae,1.0,4,0.0001,0.0002106481600397577
hae,1.0,4,0.001,0.00017908515292219818
cae,0.0,1,0.0001,0.00026238062491756864
cae,0.0,1,0.001,0.0002786576418050875
cae,0.0,2,0.0001,0.00022158491750208972
cae,0.0,2,0.001,0.0001408804255333962
cae,0.0,4,0.0001,0.00019875204210014394
cae,0.0,4,0.001,0.0001822706229480294
properhae,0.01,1,0.0001,0.00024369455180324925
properhae,0.01,1,0.001,0.0003095438830011214
properhae,0.01,2,0.0001,0.00023175659225671552
properhae,0.01,2,0.001,0.0002285761377909997
properhae,0.01,4,0.0001,0.00022197067179755928
properhae,0.01,4,0.001,0.00012317433174757753
properhae,0.1,1,0.0001,0.0003363562742985475
properhae,0.1,1,0.001,0.00039478098187828436
properhae,0.1,2,0.0001,0.0003300729852829439
properhae,0.1,2,0.001,0.00025255618553880293
properhae,0.1,4,0.0001,0.0002485523424790396
properhae,0.1,4,0.001,0.00016846625658217818
properhae,1.0,1,0.0001,0.0012001887565323461
properhae,1.0,1,0.001,0.00031688320693016675
properhae,1.0,2,0.0001,0.0006345619088582074
properhae,1.0,2,0.001,0.0003849838418924871
properhae,1.0,4,0.0001,0.00038411415880545974
properhae,1.0,4,0.001,0.00020499247572539994
porthae,0.01,1,0.0001,0.00024374564721559486
porthae,0.01,1,0.001,0.0002866480099328328
porthae,0.01,2,0.0001,0.00023223444683632502
porthae,0.01,2,0.001,0.00018422530047246255
porthae,0.01,4,0.0001,0.00022087951341139464
porthae,0.01,4,0.001,0.0002046226812429571
porthae,0.1,1,0.0001,0.00033674943551886827
porthae,0.1,1,0.001,0.00034315820084884763
porthae,0.1,2,0.0001,0.00032983087536801275
porthae,0.1,2,0.001,0.00021548656513914466
porthae,0.1,4,0.0001,0.0002456657057336997
porthae,0.1,4,0.001,0.00018908486648191078
porthae,1.0,1,0.0001,0.0008172185043804348
porthae,1.0,1,0.001,0.0005351987517011972
porthae,1.0,2,0.0001,0.000556626228596239
porthae,1.0,2,0.001,0.00026708587029133923
porthae,1.0,4,0.0001,0.00044240626933363575
porthae,1.0,4,0.001,0.00021748508394618207
